"id","name","invoice_label","type_tax_use","amount_type","amount","include_base_amount","is_base_affected","analytic","tax_exigibility","l10n_mx_tax_type","l10n_mx_factor_type","cash_basis_transition_account_id/id","tax_group_id/id","country_id/id","sequence","active","repartition_line_ids/repartition_type","repartition_line_ids/factor_percent","repartition_line_ids/account_id/id","repartition_line_ids/tag_ids/id"
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_602_49_001_lmmr",""
"marin.account_tax_1023","ISH 4% - 601","ISH4%","Purchases","Percentage of Price","4.0","","","True","Based on Invoice","IVA","Tasa","","marin.tax_group_ish_lmmr_1009","base.mx","61","True","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_601_49_001_lmmr",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_601_49_001_lmmr",""
"marin.account_tax_1024","ISH 4% - 602","ISH(4%)","Purchases","Percentage of Price","4.0","","","True","Based on Invoice","IVA","Tasa","","marin.tax_group_ish_lmmr_1009","base.mx","62","True","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_602_49_001_lmmr",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_602_49_001_lmmr",""
"marin.account_tax_1025","Income tax witholding 10% leasing","","Sales","Percentage of Price","-10.0","","","True","Based on Payment","ISR","Tasa","marin.account_216_03_002_lmmr","marin.tax_group_isr_retention_10_lmmr_1010","base.mx","2","True","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","",""
"marin.account_tax_1026","VAT 0%","VAT(0%)","Purchases","Percentage of Price","0.0","","","","Based on Payment","IVA","Tasa","marin.account_119_01_001_lmmr","marin.tax_group_vat_0_lmmr_1012","base.mx","8","True","Base","100.0","","__export__.account_account_tag_17_c340585c"
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_118_01_001_lmmr",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_118_01_001_lmmr","__export__.account_account_tag_23_7096abad"
"marin.account_tax_1027","VAT 0%","VAT(0%)","Sales","Percentage of Price","0.0","","","True","Based on Payment","IVA","Tasa","marin.account_209_01_001_lmmr","marin.tax_group_vat_0_lmmr_1012","base.mx","11","True","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","",""
"marin.account_tax_1028","VAT 0% - Non deductible","","Purchases","Percentage of Price","0.0","","","True","Based on Payment","IVA","Tasa","marin.account_119_01_002_lmmr","marin.tax_group_vat_0_lmmr_1012","base.mx","9","True","Base","100.0","","__export__.account_account_tag_9_12b8c622"
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_602_83_007_lmmr",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_602_83_007_lmmr","__export__.account_account_tag_23_7096abad"
"marin.account_tax_1029","VAT 16%","VAT(16%)","Purchases","Percentage of Price","16.0","","True","True","Based on Payment","IVA","Tasa","marin.account_119_01_001_lmmr","marin.tax_group_vat_16_lmmr_1014","base.mx","23","True","Base","100.0","","__export__.account_account_tag_7_6c4b114f"
